,,
RGB CODE,OCR_Not readable,Yes
"(82, 63, 27) (253, 253, 253) (153, 147, 127) (186, 95, 42) (214, 208, 193)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHPJquPBXKfSfMBfu_jXZ52A0yXSZHao5YtP4TAXqE4gs0iFNoW8rk&usqp=CAE&s,-
"(158, 37, 42) (253, 252, 252) (186, 114, 46) (226, 212, 212) (227, 164, 86)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd8221a96c4bea44518807854bf2123950.jpeg,-
"(252, 252, 250) (178, 120, 57) (89, 63, 45) (223, 201, 179) (225, 161, 90)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd412e3d41a1d8c314b152d485a217b1b7.jpeg,-
"(253, 253, 252) (240, 188, 109) (92, 101, 36) (185, 132, 95) (230, 215, 178)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd7b2f40669d91c7c35c87be5b44e24357.jpeg,-
"(252, 251, 246) (209, 131, 66) (229, 206, 165) (128, 148, 107) (130, 74, 36)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd9b829e8dc7fbf7fe6506fc5cc3d205d3.jpeg,-
"(253, 253, 252) (114, 112, 108) (191, 180, 162) (24, 28, 45) (225, 150, 30)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd61eea9bc907848c70dbb9808566c0345.jpeg,-
"(241, 216, 36) (250, 249, 246) (190, 180, 164) (161, 33, 27) (183, 131, 61)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd9ae6ad7ddb0aa914883d29a7b064708d.jpeg,-
"(251, 251, 250) (40, 56, 87) (119, 77, 39) (174, 143, 97) (211, 208, 202)",https://serpapi.com/searches/64f06092af5af1a714472398/images/fd7704d0aa5362caa140a930072a3edd7b6e0adf08c3693871c1c4e53aa89bce.jpeg,-
"(239, 222, 18) (253, 253, 249) (162, 107, 52) (63, 53, 40) (213, 190, 113)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQts1USPQFbfjd04phj9eodNak8AcyX1Ufim9yAuX7D35YNfnjUazTx&usqp=CAE&s,-
"(73, 75, 69) (240, 240, 240) (210, 191, 188) (138, 123, 147) (176, 111, 45)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG3Vk2q_MvGWMXLOvGxtEgZwKAOcK9OP2a0Am-2HUH5unNNaVnbPHM&usqp=CAE&s,-
"(73, 75, 69) (240, 240, 240) (210, 191, 188) (176, 111, 45) (138, 123, 147)",https://serpapi.com/searches/64f06097629a011111dffeeb/images/e081457ffc9c0464c7b33cbc9725172fb8331baa643801a81565a56c0c9e7461.jpeg,-
"(170, 135, 99) (223, 221, 221) (66, 32, 10) (122, 82, 54) (192, 178, 161)",https://serpapi.com/searches/64f06097629a011111dffeeb/images/e081457ffc9c0464c7b33cbc9725172fc233618ea1824167bc93dafe74d41c01.jpeg,-
"(252, 252, 251) (212, 124, 99) (215, 199, 178) (222, 39, 39) (98, 82, 51)",https://serpapi.com/searches/64f06097629a011111dffeeb/images/e081457ffc9c0464c7b33cbc9725172f4867420be9c2461bc7ba0679a6b7d2cd.jpeg,-
